created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-07 19:07:18-06:00,cheyenne,0,1,1582,2295,1,128079,11686,"Any description of ""small and socially distant"" should be made about a height-challanged nerd, not an audience for a VP debate. 

#mugclub",0.095,0.905,0.0,-0.296
2020-10-07 19:06:55-06:00,cheyenne,0,0,22,345,0,10608,992,Why do we get in relationships if we always know there's such a high chance of it breaking your heart?,0.0,0.905,0.095,0.25
2020-10-07 19:06:40-06:00,cheyenne,0,0,621,1259,1,51889,15194,    If your god is Baal..,0.0,0.656,0.344,0.2732
2020-10-07 19:05:32-06:00,cheyenne,0,0,128,464,4,42,1556, You’re “the media.” Don’t accuse him.,0.265,0.735,0.0,-0.2023
2020-10-07 19:01:59-06:00,cheyenne,0,1,129,62,2,1598,1055,Kim does so much to help us and our SA. ,0.0,0.752,0.248,0.4522
2020-10-07 19:01:32-06:00,cheyenne,0,0,4,41,0,18,102, Did I win. ???,0.0,0.409,0.591,0.6531
2020-10-07 19:00:55-06:00,cheyenne,0,0,3,117,0,3284,1392, Tonight is going to be a gold mine for dem strategists in 2024,0.0,1.0,0.0,0.0
2020-10-07 19:00:18-06:00,cheyenne,0,0,16,206,0,228,1382, At least Ahsoka had proper training unlike Rey.,0.0,1.0,0.0,0.0
2020-10-07 19:00:00-06:00,cheyenne,0,0,144,226,2,1430,1001,Have you recently had a baby?  Share your journey if you receive a PRAMS survey in the mail – it will help us guide… ,0.0,0.818,0.182,0.5994
2020-10-07 18:59:57-06:00,cheyenne,1,1,1580,2293,1,128054,11675,"Kamala is ok in debates despite her arrogant demeanor, until her opponent demonstrates superior logic.

Then her de… ",0.0,0.643,0.357,0.8089
2020-10-07 18:59:06-06:00,cheyenne,0,0,3,117,0,3284,1392,  You need to read more books and spend less time spouting bullshit Trump ball washing comments.,0.191,0.809,0.0,-0.5478
2020-10-07 18:58:58-06:00,cheyenne,0,0,4,41,0,18,102, Whacko !!!,0.0,1.0,0.0,0.0
2020-10-07 18:56:49-06:00,cheyenne,0,0,3,117,0,3284,1392,  Racist bullshit lies are so 1860.,0.779,0.221,0.0,-0.891
2020-10-07 18:53:13-06:00,cheyenne,0,0,336,855,4,22453,22682," FUCK YEAH, PATTI",0.522,0.149,0.328,-0.3182
2020-10-07 18:51:16-06:00,cheyenne,0,1,177,96,0,14652,2602, I'm not very good with money... Is 6 Trillion dollars a lot?,0.193,0.807,0.0,-0.3865
2020-10-07 18:49:51-06:00,cheyenne,0,0,492,767,3,9833,5902, Fuck the rays.,0.636,0.364,0.0,-0.5423
2020-10-07 18:49:50-06:00,cheyenne,0,0,0,517,5,105,9707,Bum arm Tanaka. Your time in mlb is done. The league got you figured out.,0.0,1.0,0.0,0.0
2020-10-07 18:45:05-06:00,cheyenne,0,0,185,261,1,1823,1483,Woke iPhone Commercial  via ,0.0,1.0,0.0,0.0
2020-10-07 18:44:23-06:00,cheyenne,0,1,14736,534,34,270,33793, Coffee!,0.0,1.0,0.0,0.0
2020-10-07 18:43:54-06:00,cheyenne,0,0,31,95,0,159,35, Sending love and prayers!,0.0,0.4,0.6,0.6696
2020-10-07 18:41:57-06:00,cheyenne,0,0,226,939,2,95976,37565, I T ' S  T I M E  F O R  V O R E,0.0,1.0,0.0,0.0
2020-10-07 18:40:50-06:00,cheyenne,0,0,123,23,1,0,85910,"We're hiring! Concrete Finishers Apply:  Concretejobs Cheyenne, WY",0.0,1.0,0.0,0.0
2020-10-07 18:40:07-06:00,cheyenne,0,0,434,616,8,16715,46380, Boy I turn 24 this month I’m the old one here,0.0,1.0,0.0,0.0
2020-10-07 18:39:52-06:00,cheyenne,0,0,434,616,8,16715,46380,  Oh cobra Kai. I think we’ve reached max guest capacity,0.0,0.865,0.135,0.1027
2020-10-07 18:36:57-06:00,cheyenne,0,0,148,389,1,816,2446,"These #pumpkin seed tortilla chips definitely pair well with spicy guacamole!  😋 

#pumpkinseason ",0.0,0.719,0.281,0.6239
2020-10-07 18:36:25-06:00,cheyenne,0,0,226,939,2,95976,37565," I know this isn't really related, but this like totally reminds me of the time my parents' dog ate fifteen hamburger buns.",0.0,0.846,0.154,0.5876
2020-10-07 18:35:48-06:00,cheyenne,0,0,177,96,0,14652,2602, The CIA is who they were appeasing. We often lose track of who the true enemy is... The us vs. them d… ,0.214,0.621,0.166,-0.34
2020-10-07 18:35:15-06:00,cheyenne,0,0,11,576,1,19756,3675," Is it still called Slam Diego, New York?",0.271,0.729,0.0,-0.3818
2020-10-07 18:35:11-06:00,cheyenne,1,1,160,214,0,2750,7517,This is the correct length of shorts for  * ,0.0,1.0,0.0,0.0
2020-10-07 18:32:44-06:00,cheyenne,0,0,177,97,1,5082,1367,i woulda been beat his ass tf😂 ,0.297,0.495,0.209,-0.1531
2020-10-07 18:31:58-06:00,cheyenne,0,0,115,675,0,2646,1683, welcome,0.0,0.0,1.0,0.4588
2020-10-07 18:29:42-06:00,cheyenne,0,0,210,517,6,2231,7369, OMG! I accidentally saw Amy Shumer naked! Someone poke out my mind's eye! #VoteInformedNotNaked,0.201,0.799,0.0,-0.5067
2020-10-07 18:29:23-06:00,cheyenne,0,1,185,261,1,1823,1483,TRUTH ha!!! ,0.0,0.204,0.796,0.6006
2020-10-07 18:29:22-06:00,cheyenne,0,1,434,616,8,16715,46380, Boy of you improving that’s all that matters ,0.0,0.606,0.394,0.4404
2020-10-07 18:27:23-06:00,cheyenne,0,0,61,160,0,564,5721,I just don’t wanna be sick anymore 🤢🤒,0.231,0.769,0.0,-0.5106
2020-10-07 18:25:28-06:00,cheyenne,0,1,2700,1449,45,79891,91140,   For sure man I would be down with a rematch lol,0.0,0.638,0.362,0.6249
2020-10-07 18:25:23-06:00,cheyenne,0,0,336,855,4,22453,22682,"She's a little short tempered, but she knows what she wants and GOES FOR IT. ",0.0,1.0,0.0,0.0
2020-10-07 18:24:35-06:00,cheyenne,0,0,160,214,0,2750,7517,Currently watching my pregnant husband and I can’t stop thinking about Matt James,0.155,0.845,0.0,-0.296
2020-10-07 18:23:47-06:00,cheyenne,0,1,434,616,8,16715,46380, I’ve been meaning to do mine but I’m lazy as hell,0.517,0.483,0.0,-0.8922
2020-10-07 18:22:53-06:00,cheyenne,0,0,336,855,4,22453,22682,  I'm gonna have to save up! I forgot you were on Cameo!,0.0,0.744,0.256,0.5837
2020-10-07 18:22:37-06:00,cheyenne,0,0,492,767,3,9833,5902," We can’t let opportunities like that slip away, dammit",0.0,0.579,0.421,0.6249
2020-10-07 18:22:36-06:00,cheyenne,0,0,2700,1449,45,79891,91140,   I personally don't think so. That's just my opinion.  If they fought 10 times… ,0.15,0.85,0.0,-0.3182
2020-10-07 18:22:09-06:00,cheyenne,0,0,106,326,0,11564,1194,Hoodie shaun just got a suga momma🥰😅#ps5secured,0.0,0.718,0.282,0.6705
2020-10-07 18:20:57-06:00,cheyenne,0,2,439,582,14,5224,7205,Yes. We. Do! ,0.0,0.401,0.599,0.4574
2020-10-07 18:20:49-06:00,cheyenne,0,0,106,326,0,11564,1194, The last 3 are fs the toughest😩 ,0.327,0.673,0.0,-0.34
2020-10-07 18:19:55-06:00,cheyenne,1,1,139,122,1,58756,5110,"  He is doing an ad for Regeneron, for sure. He owns stock in the company. Also, they tested hi… ",0.0,0.887,0.113,0.3182
2020-10-07 18:19:46-06:00,cheyenne,0,1,1580,2293,1,128054,11675,"Clicked onto a  YouTube video about Facebook banning QAnon sites, and the ""context"" YouTube provided w… ",0.0,1.0,0.0,0.0
2020-10-07 18:19:43-06:00,cheyenne,0,1,17,135,0,1024,912,Jane Fonda AKA Hanoi Jane said tonight President Trump getting COVID19 was a gift to the left! You POS! May karma bite you in the ass!,0.14,0.767,0.093,-0.3561
2020-10-07 18:19:06-06:00,cheyenne,0,0,106,326,0,11564,1194, The word “no” wouldn’t have made it out my mouth before gettin snatched outta my body😂😭,0.168,0.705,0.128,-0.0516
2020-10-07 18:19:03-06:00,cheyenne,0,1,365,377,2,3742,2071,  I don’t even know u,0.0,1.0,0.0,0.0
2020-10-07 18:18:42-06:00,cheyenne,0,0,2700,1449,45,79891,91140,   It really was just a stand up type of fight. Tony's type of gritty fight. From… ,0.271,0.729,0.0,-0.6369
2020-10-07 18:18:22-06:00,cheyenne,0,3,3176,1444,10,17892,10055,Do you ever put money down on an adopt auction but then later realize you dont reeeally want that character anymore… ,0.061,0.876,0.062,0.0044
2020-10-07 18:17:52-06:00,cheyenne,0,1,336,855,4,22453,22682, Also this. ,0.0,1.0,0.0,0.0
2020-10-07 18:17:41-06:00,cheyenne,0,0,106,326,0,11564,1194,  No he didn’t,0.524,0.476,0.0,-0.296
2020-10-07 18:17:01-06:00,cheyenne,0,0,336,855,4,22453,22682," Honestly? Gentle Criminal and La Brava vs Deku.

Gentle's Quirk was honestly pretty unique and the way h… ",0.119,0.456,0.425,0.8271
2020-10-07 18:16:38-06:00,cheyenne,0,0,187,406,1,104053,19048, Midwest American mutt of mostly German/Irish with a whole lot of ancestor seasoning: potatoes.  All the be… ,0.0,1.0,0.0,0.0
2020-10-07 18:15:06-06:00,cheyenne,0,0,187,406,1,104053,19048,"Embracing the Queer community was the first step in embracing me as me: bi, and ok being being me ",0.0,0.891,0.109,0.296
2020-10-07 18:14:04-06:00,cheyenne,0,0,64,86,0,289,287,758 lb pumpkin to take off the truck. No problem. ,0.0,0.799,0.201,0.3089
2020-10-07 18:11:33-06:00,cheyenne,0,0,21,146,0,4278,291," Arguably, Raccoons are cuter.  
And easier to get out of your basement, too.",0.11,0.552,0.337,0.6249
2020-10-07 18:11:06-06:00,cheyenne,0,0,208,509,4,5404,4116,  Why? Seems like a 1% nerf on single target damage... call me old fashioned but I really like… ,0.106,0.806,0.088,-0.09
